image_number,age_group_original,age_group_binned,age_group_confidence,gender,gender_confidence,aligned_path
52,50-69,50-69,0.3542,male,1.0,aligned_faces\00052.png
53,15-19,13-19,1.0,male,1.0,aligned_faces\00053.png
54,0-2,0-5,1.0,female,1.0,aligned_faces\00054.png
55,20-29,20-29,0.3509,female,1.0,aligned_faces\00055.png
56,20-29,20-29,1.0,male,1.0,aligned_faces\00056.png
57,30-39,30-39,0.6575,male,1.0,aligned_faces\00057.png
58,40-49,40-49,0.3731,male,1.0,aligned_faces\00058.png
59,30-39,30-39,1.0,female,1.0,aligned_faces\00059.png
60,40-49,40-49,1.0,male,1.0,aligned_faces\00060.png
61,50-69,50-69,1.0,male,1.0,aligned_faces\00061.png
62,50-69,50-69,0.6395,male,1.0,aligned_faces\00062.png
63,40-49,40-49,1.0,male,1.0,aligned_faces\00063.png
64,20-29,20-29,0.6726,male,1.0,aligned_faces\00064.png
65,20-29,20-29,0.6521,male,1.0,aligned_faces\00065.png
66,30-39,30-39,0.6734,female,1.0,aligned_faces\00066.png
67,20-29,20-29,0.6875,female,1.0,aligned_faces\00067.png
68,3-6,0-5,0.6515,male,1.0,aligned_faces\00068.png
69,30-39,30-39,0.6334,male,1.0,aligned_faces\00069.png
70,3-6,0-5,0.6623,male,1.0,aligned_faces\00070.png
71,7-9,6-12,0.659,female,1.0,aligned_faces\00071.png
72,10-14,6-12,0.6419,female,1.0,aligned_faces\00072.png
73,20-29,20-29,1.0,female,1.0,aligned_faces\00073.png
74,20-29,20-29,0.6817,male,1.0,aligned_faces\00074.png
75,30-39,30-39,0.6626,female,1.0,aligned_faces\00075.png
76,20-29,20-29,0.3666,female,1.0,aligned_faces\00076.png
77,30-39,30-39,0.6476,female,1.0,aligned_faces\00077.png
78,40-49,40-49,1.0,male,1.0,aligned_faces\00078.png
79,70-120,70+,0.6691,female,1.0,aligned_faces\00079.png
80,20-29,20-29,1.0,female,1.0,aligned_faces\00080.png
81,30-39,30-39,0.6571,female,1.0,aligned_faces\00081.png
82,30-39,30-39,0.6472,male,1.0,aligned_faces\00082.png
83,15-19,13-19,0.6627,male,1.0,aligned_faces\00083.png
84,50-69,50-69,0.7,female,1.0,aligned_faces\00084.png
85,15-19,13-19,0.3467,female,1.0,aligned_faces\00085.png
86,10-14,6-12,0.6496,male,1.0,aligned_faces\00086.png
87,20-29,20-29,1.0,female,1.0,aligned_faces\00087.png
88,70-120,70+,0.6168,male,1.0,aligned_faces\00088.png
89,20-29,20-29,1.0,female,1.0,aligned_faces\00089.png
90,7-9,6-12,0.6649,female,1.0,aligned_faces\00090.png
91,20-29,20-29,1.0,female,1.0,aligned_faces\00091.png
92,20-29,20-29,0.6649,male,1.0,aligned_faces\00092.png
93,20-29,20-29,1.0,male,1.0,aligned_faces\00093.png
94,20-29,20-29,0.6956,female,1.0,aligned_faces\00094.png
95,20-29,20-29,0.6521,female,1.0,aligned_faces\00095.png
96,20-29,20-29,0.6604,female,1.0,aligned_faces\00096.png
97,20-29,20-29,1.0,female,1.0,aligned_faces\00097.png
98,40-49,40-49,1.0,male,1.0,aligned_faces\00098.png
99,20-29,20-29,0.6546,female,1.0,aligned_faces\00099.png
100,20-29,20-29,0.7019,male,1.0,aligned_faces\00100.png
101,40-49,40-49,0.6663,female,1.0,aligned_faces\00101.png
102,0-2,0-5,1.0,male,0.6358,aligned_faces\00102.png
103,20-29,20-29,0.3628,male,1.0,aligned_faces\00103.png
104,15-19,13-19,0.6418,male,1.0,aligned_faces\00104.png
105,30-39,30-39,0.6855,male,1.0,aligned_faces\00105.png
106,10-14,6-12,0.6655,female,0.6539,aligned_faces\00106.png
107,40-49,40-49,0.6704,female,1.0,aligned_faces\00107.png
108,40-49,40-49,0.3677,female,1.0,aligned_faces\00108.png
109,20-29,20-29,0.6455,female,1.0,aligned_faces\00109.png
110,15-19,13-19,1.0,female,1.0,aligned_faces\00110.png
111,50-69,50-69,0.6737,female,1.0,aligned_faces\00111.png
112,30-39,30-39,0.6262,male,1.0,aligned_faces\00112.png
113,20-29,20-29,1.0,male,1.0,aligned_faces\00113.png
114,40-49,40-49,0.6736,male,1.0,aligned_faces\00114.png
115,20-29,20-29,1.0,male,1.0,aligned_faces\00115.png
116,10-14,6-12,1.0,female,1.0,aligned_faces\00116.png
117,30-39,30-39,0.6648,female,1.0,aligned_faces\00117.png
118,20-29,20-29,0.655,female,1.0,aligned_faces\00118.png
119,20-29,20-29,0.6627,female,1.0,aligned_faces\00119.png
120,20-29,20-29,1.0,female,1.0,aligned_faces\00120.png
121,50-69,50-69,0.6608,male,1.0,aligned_faces\00121.png
122,20-29,20-29,1.0,female,1.0,aligned_faces\00122.png
123,40-49,40-49,0.6612,male,1.0,aligned_faces\00123.png
124,30-39,30-39,0.6531,male,1.0,aligned_faces\00124.png
125,70-120,70+,0.6616,male,1.0,aligned_faces\00125.png
126,30-39,30-39,0.3654,male,1.0,aligned_faces\00126.png
127,20-29,20-29,0.6677,male,1.0,aligned_faces\00127.png
128,20-29,20-29,0.6758,female,1.0,aligned_faces\00128.png
129,30-39,30-39,0.6825,female,1.0,aligned_faces\00129.png
130,20-29,20-29,0.6435,male,1.0,aligned_faces\00130.png
131,15-19,13-19,0.6923,female,1.0,aligned_faces\00131.png
132,40-49,40-49,0.6762,male,1.0,aligned_faces\00132.png
133,40-49,40-49,0.7082,female,1.0,aligned_faces\00133.png
134,20-29,20-29,0.666,female,1.0,aligned_faces\00134.png
135,15-19,13-19,0.6937,male,1.0,aligned_faces\00135.png
136,7-9,6-12,1.0,female,1.0,aligned_faces\00136.png
137,10-14,6-12,0.6973,female,1.0,aligned_faces\00137.png
138,30-39,30-39,1.0,female,1.0,aligned_faces\00138.png
139,20-29,20-29,0.6647,female,1.0,aligned_faces\00139.png
140,10-14,6-12,0.6524,female,1.0,aligned_faces\00140.png
141,3-6,0-5,1.0,male,1.0,aligned_faces\00141.png
142,50-69,50-69,0.6354,male,1.0,aligned_faces\00142.png
143,30-39,30-39,1.0,female,1.0,aligned_faces\00143.png
144,50-69,50-69,0.6823,male,1.0,aligned_faces\00144.png
145,30-39,30-39,0.6403,male,1.0,aligned_faces\00145.png
146,3-6,0-5,1.0,female,1.0,aligned_faces\00146.png
147,30-39,30-39,0.3561,female,1.0,aligned_faces\00147.png
148,3-6,0-5,1.0,female,0.6779,aligned_faces\00148.png
149,15-19,13-19,0.6766,female,1.0,aligned_faces\00149.png
150,15-19,13-19,1.0,female,1.0,aligned_faces\00150.png
151,3-6,0-5,0.7016,female,1.0,aligned_faces\00151.png
152,30-39,30-39,0.688,female,1.0,aligned_faces\00152.png
153,15-19,13-19,0.6831,female,1.0,aligned_faces\00153.png
154,40-49,40-49,0.6491,male,1.0,aligned_faces\00154.png
155,3-6,0-5,0.6667,male,0.6667,aligned_faces\00155.png
156,30-39,30-39,1.0,female,1.0,aligned_faces\00156.png
157,30-39,30-39,1.0,male,0.6732,aligned_faces\00157.png
158,20-29,20-29,1.0,female,1.0,aligned_faces\00158.png
159,20-29,20-29,0.6811,female,1.0,aligned_faces\00159.png
160,30-39,30-39,0.3386,male,1.0,aligned_faces\00160.png
161,20-29,20-29,0.6983,female,1.0,aligned_faces\00161.png
162,30-39,30-39,1.0,female,1.0,aligned_faces\00162.png
163,10-14,6-12,0.6474,male,1.0,aligned_faces\00163.png
164,30-39,30-39,1.0,female,1.0,aligned_faces\00164.png
165,3-6,0-5,0.6438,male,1.0,aligned_faces\00165.png
166,3-6,0-5,0.6913,female,1.0,aligned_faces\00166.png
167,30-39,30-39,0.6978,female,1.0,aligned_faces\00167.png
168,10-14,6-12,0.6722,female,1.0,aligned_faces\00168.png
169,20-29,20-29,1.0,male,0.6425,aligned_faces\00169.png
170,40-49,40-49,0.6406,female,1.0,aligned_faces\00170.png
171,40-49,40-49,1.0,female,1.0,aligned_faces\00171.png
172,3-6,0-5,0.6737,male,1.0,aligned_faces\00172.png
173,40-49,40-49,0.679,male,1.0,aligned_faces\00173.png
174,30-39,30-39,0.6515,female,1.0,aligned_faces\00174.png
175,50-69,50-69,1.0,male,1.0,aligned_faces\00175.png
176,40-49,40-49,0.7,male,1.0,aligned_faces\00176.png
177,3-6,0-5,0.3524,female,1.0,aligned_faces\00177.png
178,3-6,0-5,0.6663,female,1.0,aligned_faces\00178.png
179,20-29,20-29,1.0,female,1.0,aligned_faces\00179.png
180,7-9,6-12,0.6714,male,1.0,aligned_faces\00180.png
181,20-29,20-29,0.6447,female,1.0,aligned_faces\00181.png
182,20-29,20-29,0.6767,female,1.0,aligned_faces\00182.png
183,15-19,13-19,0.6649,female,1.0,aligned_faces\00183.png
184,30-39,30-39,1.0,female,1.0,aligned_faces\00184.png
185,40-49,40-49,0.6881,male,1.0,aligned_faces\00185.png
186,20-29,20-29,1.0,female,1.0,aligned_faces\00186.png
187,50-69,50-69,1.0,male,1.0,aligned_faces\00187.png
188,50-69,50-69,0.6645,male,1.0,aligned_faces\00188.png
189,30-39,30-39,0.6429,male,1.0,aligned_faces\00189.png
190,50-69,50-69,0.7153,male,1.0,aligned_faces\00190.png
191,3-6,0-5,0.6646,male,1.0,aligned_faces\00191.png
192,30-39,30-39,0.6628,female,1.0,aligned_faces\00192.png
193,20-29,20-29,0.6626,female,1.0,aligned_faces\00193.png
194,20-29,20-29,1.0,female,1.0,aligned_faces\00194.png
195,20-29,20-29,0.6672,female,1.0,aligned_faces\00195.png
196,30-39,30-39,0.6859,male,1.0,aligned_faces\00196.png
197,20-29,20-29,0.6791,female,1.0,aligned_faces\00197.png
198,20-29,20-29,1.0,male,1.0,aligned_faces\00198.png
199,40-49,40-49,1.0,male,1.0,aligned_faces\00199.png
200,30-39,30-39,0.3526,female,1.0,aligned_faces\00200.png
201,50-69,50-69,1.0,female,1.0,aligned_faces\00201.png
202,20-29,20-29,1.0,female,1.0,aligned_faces\00202.png
203,30-39,30-39,0.6427,female,1.0,aligned_faces\00203.png
204,30-39,30-39,0.66,male,1.0,aligned_faces\00204.png
205,20-29,20-29,1.0,female,0.6649,aligned_faces\00205.png
206,50-69,50-69,0.3731,female,1.0,aligned_faces\00206.png
207,30-39,30-39,0.6626,female,1.0,aligned_faces\00207.png
208,20-29,20-29,0.6863,female,1.0,aligned_faces\00208.png
209,20-29,20-29,0.6744,female,1.0,aligned_faces\00209.png
210,3-6,0-5,0.6776,female,0.6776,aligned_faces\00210.png
211,30-39,30-39,1.0,male,1.0,aligned_faces\00211.png
212,30-39,30-39,0.6563,female,0.7006,aligned_faces\00212.png
213,30-39,30-39,0.6802,female,1.0,aligned_faces\00213.png
214,3-6,0-5,0.6777,male,1.0,aligned_faces\00214.png
215,15-19,13-19,0.6626,female,1.0,aligned_faces\00215.png
216,20-29,20-29,0.6517,male,1.0,aligned_faces\00216.png
217,20-29,20-29,1.0,male,1.0,aligned_faces\00217.png
218,40-49,40-49,1.0,male,1.0,aligned_faces\00218.png
219,20-29,20-29,0.6434,female,1.0,aligned_faces\00219.png
220,3-6,0-5,0.6787,female,1.0,aligned_faces\00220.png
221,20-29,20-29,1.0,male,1.0,aligned_faces\00221.png
222,30-39,30-39,0.6715,female,1.0,aligned_faces\00222.png
223,40-49,40-49,1.0,female,1.0,aligned_faces\00223.png
224,15-19,13-19,1.0,male,1.0,aligned_faces\00224.png
225,7-9,6-12,0.6731,female,1.0,aligned_faces\00225.png
226,0-2,0-5,0.647,male,1.0,aligned_faces\00226.png
227,50-69,50-69,0.6298,male,1.0,aligned_faces\00227.png
228,40-49,40-49,1.0,male,1.0,aligned_faces\00228.png
229,30-39,30-39,1.0,female,1.0,aligned_faces\00229.png
230,0-2,0-5,0.6704,female,0.6472,aligned_faces\00230.png
231,20-29,20-29,1.0,female,1.0,aligned_faces\00231.png
232,50-69,50-69,0.6327,male,1.0,aligned_faces\00232.png
233,30-39,30-39,0.6513,male,1.0,aligned_faces\00233.png
234,20-29,20-29,0.6493,male,1.0,aligned_faces\00234.png
235,30-39,30-39,1.0,male,1.0,aligned_faces\00235.png
236,15-19,13-19,0.675,female,1.0,aligned_faces\00236.png
237,20-29,20-29,1.0,female,1.0,aligned_faces\00237.png
238,15-19,13-19,1.0,male,1.0,aligned_faces\00238.png
239,20-29,20-29,0.6609,male,1.0,aligned_faces\00239.png
240,30-39,30-39,1.0,male,1.0,aligned_faces\00240.png
241,30-39,30-39,0.6493,female,1.0,aligned_faces\00241.png
242,10-14,6-12,0.6787,female,1.0,aligned_faces\00242.png
243,30-39,30-39,0.6714,female,1.0,aligned_faces\00243.png
244,40-49,40-49,0.6626,female,1.0,aligned_faces\00244.png
245,10-14,6-12,0.6573,female,1.0,aligned_faces\00245.png
246,3-6,0-5,0.6435,male,1.0,aligned_faces\00246.png
247,20-29,20-29,0.6626,male,1.0,aligned_faces\00247.png
248,40-49,40-49,0.6778,male,1.0,aligned_faces\00248.png
249,30-39,30-39,0.634,female,1.0,aligned_faces\00249.png
250,20-29,20-29,0.6478,male,1.0,aligned_faces\00250.png
251,50-69,50-69,1.0,female,1.0,aligned_faces\00251.png
252,20-29,20-29,0.6683,female,1.0,aligned_faces\00252.png
253,20-29,20-29,0.674,female,1.0,aligned_faces\00253.png
254,20-29,20-29,0.6672,male,1.0,aligned_faces\00254.png
255,30-39,30-39,1.0,male,1.0,aligned_faces\00255.png
256,50-69,50-69,0.7166,male,1.0,aligned_faces\00256.png
257,50-69,50-69,0.6671,female,1.0,aligned_faces\00257.png
258,40-49,40-49,0.6556,male,1.0,aligned_faces\00258.png
259,70-120,70+,0.3382,male,1.0,aligned_faces\00259.png
260,20-29,20-29,1.0,female,1.0,aligned_faces\00260.png
261,30-39,30-39,1.0,female,1.0,aligned_faces\00261.png
262,70-120,70+,1.0,female,1.0,aligned_faces\00262.png
263,0-2,0-5,1.0,female,1.0,aligned_faces\00263.png
264,50-69,50-69,1.0,male,1.0,aligned_faces\00264.png
265,40-49,40-49,1.0,male,1.0,aligned_faces\00265.png
266,20-29,20-29,0.6664,female,1.0,aligned_faces\00266.png
267,40-49,40-49,0.363,male,1.0,aligned_faces\00267.png
268,20-29,20-29,0.6648,female,1.0,aligned_faces\00268.png
269,20-29,20-29,0.3645,female,1.0,aligned_faces\00269.png
270,20-29,20-29,1.0,male,1.0,aligned_faces\00270.png
271,20-29,20-29,0.3524,male,1.0,aligned_faces\00271.png
272,20-29,20-29,0.3594,female,0.6938,aligned_faces\00272.png
273,20-29,20-29,1.0,female,1.0,aligned_faces\00273.png
274,40-49,40-49,0.6593,male,1.0,aligned_faces\00274.png
275,20-29,20-29,1.0,female,1.0,aligned_faces\00275.png
276,40-49,40-49,0.6744,male,1.0,aligned_faces\00276.png
277,20-29,20-29,0.6755,female,0.6755,aligned_faces\00277.png
278,40-49,40-49,1.0,male,1.0,aligned_faces\00278.png
279,20-29,20-29,1.0,male,1.0,aligned_faces\00279.png
280,30-39,30-39,1.0,female,1.0,aligned_faces\00280.png
281,30-39,30-39,0.4948,male,1.0,aligned_faces\00281.png
282,20-29,20-29,1.0,female,1.0,aligned_faces\00282.png
283,50-69,50-69,0.6863,female,1.0,aligned_faces\00283.png
284,30-39,30-39,0.6926,male,1.0,aligned_faces\00284.png
285,0-2,0-5,1.0,male,1.0,aligned_faces\00285.png
286,3-6,0-5,0.6675,male,1.0,aligned_faces\00286.png
287,20-29,20-29,0.6543,female,1.0,aligned_faces\00287.png
288,30-39,30-39,0.6628,male,1.0,aligned_faces\00288.png
289,20-29,20-29,0.6298,female,1.0,aligned_faces\00289.png
290,30-39,30-39,0.6706,female,1.0,aligned_faces\00290.png
291,0-2,0-5,1.0,female,1.0,aligned_faces\00291.png
292,20-29,20-29,1.0,male,1.0,aligned_faces\00292.png
293,30-39,30-39,0.6623,female,1.0,aligned_faces\00293.png
294,40-49,40-49,0.6439,female,1.0,aligned_faces\00294.png
295,30-39,30-39,1.0,male,1.0,aligned_faces\00295.png
296,20-29,20-29,1.0,female,1.0,aligned_faces\00296.png
297,10-14,6-12,0.3382,female,1.0,aligned_faces\00297.png
298,30-39,30-39,0.658,female,1.0,aligned_faces\00298.png
299,20-29,20-29,0.6823,female,1.0,aligned_faces\00299.png
300,30-39,30-39,1.0,male,1.0,aligned_faces\00300.png
301,0-2,0-5,0.7103,male,1.0,aligned_faces\00301.png
302,20-29,20-29,0.6661,female,1.0,aligned_faces\00302.png
303,30-39,30-39,0.6705,female,1.0,aligned_faces\00303.png
304,20-29,20-29,0.6748,female,1.0,aligned_faces\00304.png
305,50-69,50-69,0.6781,male,1.0,aligned_faces\00305.png
306,20-29,20-29,0.6611,male,1.0,aligned_faces\00306.png
307,20-29,20-29,0.7154,female,1.0,aligned_faces\00307.png
308,10-14,6-12,0.3467,female,1.0,aligned_faces\00308.png
309,20-29,20-29,1.0,female,1.0,aligned_faces\00309.png
310,20-29,20-29,0.3466,female,1.0,aligned_faces\00310.png
311,3-6,0-5,1.0,male,1.0,aligned_faces\00311.png
312,10-14,6-12,0.3519,female,1.0,aligned_faces\00312.png
313,50-69,50-69,1.0,female,1.0,aligned_faces\00313.png
314,20-29,20-29,0.3638,female,1.0,aligned_faces\00314.png
315,50-69,50-69,0.758,female,1.0,aligned_faces\00315.png
316,50-69,50-69,1.0,female,1.0,aligned_faces\00316.png
317,30-39,30-39,1.0,female,1.0,aligned_faces\00317.png
318,30-39,30-39,0.6549,male,1.0,aligned_faces\00318.png
319,3-6,0-5,0.6932,female,1.0,aligned_faces\00319.png
320,15-19,13-19,0.344,male,1.0,aligned_faces\00320.png
321,3-6,0-5,0.6729,female,1.0,aligned_faces\00321.png
322,70-120,70+,1.0,male,0.7193,aligned_faces\00322.png
323,40-49,40-49,0.6752,male,1.0,aligned_faces\00323.png
324,50-69,50-69,1.0,male,1.0,aligned_faces\00324.png
325,3-6,0-5,1.0,male,1.0,aligned_faces\00325.png
326,50-69,50-69,0.662,female,1.0,aligned_faces\00326.png
327,10-14,6-12,0.6418,female,1.0,aligned_faces\00327.png
328,20-29,20-29,1.0,female,1.0,aligned_faces\00328.png
329,3-6,0-5,0.6711,female,1.0,aligned_faces\00329.png
330,3-6,0-5,0.3563,female,1.0,aligned_faces\00330.png
331,20-29,20-29,1.0,female,1.0,aligned_faces\00331.png
332,40-49,40-49,0.6697,female,1.0,aligned_faces\00332.png
333,50-69,50-69,1.0,male,1.0,aligned_faces\00333.png
334,30-39,30-39,1.0,female,1.0,aligned_faces\00334.png
335,50-69,50-69,1.0,male,1.0,aligned_faces\00335.png
336,20-29,20-29,0.664,male,1.0,aligned_faces\00336.png
337,30-39,30-39,0.7114,female,1.0,aligned_faces\00337.png
338,15-19,13-19,1.0,female,1.0,aligned_faces\00338.png
339,20-29,20-29,0.6457,male,1.0,aligned_faces\00339.png
340,30-39,30-39,0.6882,female,1.0,aligned_faces\00340.png
341,40-49,40-49,1.0,male,1.0,aligned_faces\00341.png
342,20-29,20-29,0.6936,female,1.0,aligned_faces\00342.png
343,7-9,6-12,0.6313,male,1.0,aligned_faces\00343.png
344,20-29,20-29,0.6627,female,1.0,aligned_faces\00344.png
345,20-29,20-29,0.6443,female,1.0,aligned_faces\00345.png
346,40-49,40-49,0.6644,male,1.0,aligned_faces\00346.png
347,30-39,30-39,1.0,male,1.0,aligned_faces\00347.png
348,20-29,20-29,0.6237,male,1.0,aligned_faces\00348.png
349,3-6,0-5,1.0,male,1.0,aligned_faces\00349.png
350,20-29,20-29,0.6356,female,1.0,aligned_faces\00350.png
351,30-39,30-39,0.6631,female,1.0,aligned_faces\00351.png
352,40-49,40-49,0.6737,female,1.0,aligned_faces\00352.png
353,20-29,20-29,0.6691,male,1.0,aligned_faces\00353.png
354,20-29,20-29,0.6361,female,1.0,aligned_faces\00354.png
355,30-39,30-39,0.6209,male,1.0,aligned_faces\00355.png
356,15-19,13-19,0.7151,female,1.0,aligned_faces\00356.png
357,3-6,0-5,0.6951,female,1.0,aligned_faces\00357.png
358,30-39,30-39,0.651,male,1.0,aligned_faces\00358.png
359,50-69,50-69,0.676,female,1.0,aligned_faces\00359.png
360,20-29,20-29,0.6577,male,1.0,aligned_faces\00360.png
361,30-39,30-39,1.0,male,1.0,aligned_faces\00361.png
362,40-49,40-49,0.3681,male,1.0,aligned_faces\00362.png
363,20-29,20-29,0.6727,male,1.0,aligned_faces\00363.png
364,3-6,0-5,0.6611,female,1.0,aligned_faces\00364.png
365,30-39,30-39,0.704,female,1.0,aligned_faces\00365.png
366,3-6,0-5,0.6582,male,1.0,aligned_faces\00366.png
367,30-39,30-39,1.0,male,1.0,aligned_faces\00367.png
368,30-39,30-39,0.6694,female,1.0,aligned_faces\00368.png
369,3-6,0-5,1.0,female,1.0,aligned_faces\00369.png
370,30-39,30-39,0.6335,male,1.0,aligned_faces\00370.png
371,30-39,30-39,0.3629,female,1.0,aligned_faces\00371.png
372,40-49,40-49,0.669,female,1.0,aligned_faces\00372.png
373,30-39,30-39,0.6479,female,1.0,aligned_faces\00373.png
374,15-19,13-19,0.641,male,1.0,aligned_faces\00374.png
375,10-14,6-12,0.6521,male,1.0,aligned_faces\00375.png
376,0-2,0-5,1.0,male,1.0,aligned_faces\00376.png
377,20-29,20-29,0.6678,male,1.0,aligned_faces\00377.png
378,40-49,40-49,1.0,male,1.0,aligned_faces\00378.png
379,30-39,30-39,0.6371,male,1.0,aligned_faces\00379.png
380,15-19,13-19,1.0,female,1.0,aligned_faces\00380.png
381,30-39,30-39,0.6313,male,1.0,aligned_faces\00381.png
382,20-29,20-29,1.0,male,1.0,aligned_faces\00382.png
383,3-6,0-5,1.0,female,1.0,aligned_faces\00383.png
384,20-29,20-29,1.0,female,1.0,aligned_faces\00384.png
385,20-29,20-29,0.662,female,1.0,aligned_faces\00385.png
386,30-39,30-39,1.0,male,1.0,aligned_faces\00386.png
387,70-120,70+,1.0,male,1.0,aligned_faces\00387.png
388,50-69,50-69,0.6663,female,1.0,aligned_faces\00388.png
389,20-29,20-29,0.6446,female,1.0,aligned_faces\00389.png
390,0-2,0-5,1.0,male,1.0,aligned_faces\00390.png
391,50-69,50-69,1.0,female,1.0,aligned_faces\00391.png
392,30-39,30-39,0.6729,male,1.0,aligned_faces\00392.png
393,20-29,20-29,0.6528,female,1.0,aligned_faces\00393.png
394,40-49,40-49,0.6721,female,0.6493,aligned_faces\00394.png
395,50-69,50-69,1.0,male,1.0,aligned_faces\00395.png
396,30-39,30-39,0.6595,male,1.0,aligned_faces\00396.png
397,30-39,30-39,0.3679,male,1.0,aligned_faces\00397.png
398,30-39,30-39,0.6667,male,1.0,aligned_faces\00398.png
399,30-39,30-39,0.6877,female,1.0,aligned_faces\00399.png
400,30-39,30-39,0.3531,female,1.0,aligned_faces\00400.png
401,50-69,50-69,0.3507,male,1.0,aligned_faces\00401.png
402,0-2,0-5,0.683,female,1.0,aligned_faces\00402.png
403,20-29,20-29,1.0,female,1.0,aligned_faces\00403.png
404,30-39,30-39,0.6371,male,1.0,aligned_faces\00404.png
405,20-29,20-29,1.0,female,1.0,aligned_faces\00405.png
406,50-69,50-69,1.0,male,1.0,aligned_faces\00406.png
407,15-19,13-19,0.648,female,1.0,aligned_faces\00407.png
408,15-19,13-19,1.0,female,1.0,aligned_faces\00408.png
409,40-49,40-49,0.6698,female,1.0,aligned_faces\00409.png
410,7-9,6-12,0.6432,male,1.0,aligned_faces\00410.png
411,3-6,0-5,1.0,female,1.0,aligned_faces\00411.png
412,30-39,30-39,0.6186,male,1.0,aligned_faces\00412.png
413,20-29,20-29,0.6447,male,1.0,aligned_faces\00413.png
414,0-2,0-5,1.0,male,1.0,aligned_faces\00414.png
415,30-39,30-39,0.6869,male,1.0,aligned_faces\00415.png
416,40-49,40-49,0.622,male,1.0,aligned_faces\00416.png
417,30-39,30-39,0.3565,female,1.0,aligned_faces\00417.png
418,20-29,20-29,1.0,female,1.0,aligned_faces\00418.png
419,20-29,20-29,0.6551,female,1.0,aligned_faces\00419.png
420,30-39,30-39,0.6922,male,1.0,aligned_faces\00420.png
421,20-29,20-29,1.0,female,1.0,aligned_faces\00421.png
422,15-19,13-19,0.3615,female,1.0,aligned_faces\00422.png
423,40-49,40-49,1.0,female,1.0,aligned_faces\00423.png
424,20-29,20-29,0.6795,male,1.0,aligned_faces\00424.png
425,40-49,40-49,0.6741,male,1.0,aligned_faces\00425.png
